GROUP,1_RA_FMT,2_RA_FMT,3_RA_FMT,4_RA_FMT,5_RA_FMT,1_IH_FMT,2_IH_FMT,3_IH_FMT,4_IH_FMT,5_IH_FMT,1_RA_FMT_PRO,2_RA_FMT_PRO,3_RA_FMT_PRO,4_RA_FMT_PRO,5_RA_FMT_PRO,1_IH_FMT_PRO,2_IH_FMT_PRO,3_IH_FMT_PRO,4_IH_FMT_PRO,5_IH_FMT_PRO
7c42e392c9e68e6de5e7edae24aa89c2,11938,13606,16580,11189,10915,17698,19852,12057,17308,21342,10061,21572,10576,6621,15854,6048,8069,5380,6006,11819
f80166d86a7f15b69b6ac97505299c3a,8320,8366,6384,8479,11815,3352,3254,3298,4392,3799,8162,4929,9342,10739,6967,2164,1317,3013,3608,5099
cd6dbb569337fc7ba0542287c426baa1,1613,1101,1591,2605,1524,1007,456,1340,365,822,146,411,132,127,162,6093,3892,8323,10281,5235
95fdd816723ca482a5caba10bea171c8,1658,2094,3552,3691,2245,2305,1352,10834,4032,5067,964,836,1170,805,688,761,1169,858,937,1229
d04b16de2b3bfa84754a4eafcfaec69a,1700,1937,1887,1562,1340,1631,1479,992,1238,926,1395,1275,1780,1643,1646,1677,1628,1612,1558,1166
7bacf637b0a935317e9de08fd1bcb72c,1454,1326,737,482,1316,1728,1516,683,1157,1003,1525,794,2168,1981,1282,1552,1336,2174,1765,1330
30c6fe7832e92482696281aedf284e6a,538,725,462,391,573,1005,1151,1796,1491,676,986,743,599,1016,1683,1718,1357,1869,1312,1360
b626779bd5dfa945ddc31fd5e5070a19,931,948,628,874,247,1440,1985,708,1536,689,518,544,427,508,492,1231,1536,2199,1709,1749
3471f88cb44a7a8c95f6c7fe00ec8261,558,459,274,974,303,573,676,465,611,438,746,851,1037,886,739,789,584,973,857,594
c1def48b42e159b33dd366fb124ea638,609,574,427,686,642,499,658,423,381,311,804,534,711,1086,765,606,866,475,404,548
9fd2ab2f88f10ef6d386289b4ce9b85d,592,690,436,704,211,324,411,423,487,278,360,167,420,482,421,455,380,821,862,844
e4597f1dce864c29882fa64f616d1a6c,579,810,473,684,572,254,516,343,417,224,521,466,456,449,428,372,375,666,412,581
1dacfff5549a7d2494f6a935ea1fb7e8,276,66,732,37,410,165,83,78,77,86,911,419,1177,929,627,792,781,159,263,57
7421a0056850e30172e2c541c9215c11,266,315,236,480,276,532,445,307,442,462,136,229,220,161,211,471,369,593,553,601
2ef1e51ab1cf99a3c6417b05a060830e,140,180,246,616,17,623,345,1181,84,63,1110,535,415,414,467,321,438,210,229,102
d60593a75368eb2dd66ecbbec3313863,205,182,130,405,88,15,32,0,58,0,400,224,461,447,324,908,320,1154,1312,618
68c0de23aadf50c215f58758255382b8,271,213,248,468,262,86,44,121,36,74,0,64,16,0,0,954,567,1292,1632,951
a9b24370bdb02a8ee91855de7b8b2813,92,132,99,109,230,465,684,179,500,284,217,530,222,152,418,285,398,454,489,338
edc1dfcd54e37069be79c20ae7bfd68f,279,320,233,297,418,213,258,241,439,232,439,316,243,397,304,253,224,352,266,280
129500150cad877075ed12b0c9424282,433,336,272,891,258,375,328,185,281,254,458,152,217,388,200,277,263,232,168,167
cb1abf418422e26cfb437c2a36fa1ee9,282,374,272,164,237,310,301,345,280,325,566,302,411,471,296,142,132,141,152,143
5858157a5f3c4bdbc235927eae7ff303,346,408,164,274,152,299,292,79,140,123,77,406,341,254,295,419,189,456,401,221
0dd0551c0dd279c12d8a31ad016f0a7b,89,38,204,105,39,36,56,203,13,23,412,37,0,150,313,1266,1550,60,153,282
0ebb2cf4a2017aeaefadf9ae5062eb62,292,273,280,480,134,311,232,229,293,277,166,96,204,129,138,307,82,345,314,287
64887d477599cd3dfb5734b05544d746,348,53,203,13,304,414,35,329,113,99,234,72,378,460,191,368,552,135,134,207
