,0
7c42e392c9e68e6de5e7edae24aa89c2,568563.0
f80166d86a7f15b69b6ac97505299c3a,316570.0
95fdd816723ca482a5caba10bea171c8,232957.0
cd6dbb569337fc7ba0542287c426baa1,199496.0
a9b24370bdb02a8ee91855de7b8b2813,110951.0
d04b16de2b3bfa84754a4eafcfaec69a,86068.0
da47a7f676f9a37da03e64a99251fd78,85140.0
b626779bd5dfa945ddc31fd5e5070a19,82708.0
0df6c802966e8670279671824da4f10a,65023.0
7bacf637b0a935317e9de08fd1bcb72c,60857.0
30c6fe7832e92482696281aedf284e6a,46866.0
04e96f8e3e9a8aaea0cf71feba8b0e16,38390.0
daae43be6cf06991f62a085ba8bff3b6,34791.0
3471f88cb44a7a8c95f6c7fe00ec8261,32566.0
2ef1e51ab1cf99a3c6417b05a060830e,31106.0
b44aff2995f396f00ad579d8e6684335,30240.0
c1def48b42e159b33dd366fb124ea638,29371.0
1dacfff5549a7d2494f6a935ea1fb7e8,28406.0
68c0de23aadf50c215f58758255382b8,28398.0
d60593a75368eb2dd66ecbbec3313863,28271.0
e4597f1dce864c29882fa64f616d1a6c,27488.0
1930d2ae4018583d606e705beea31bd1,26315.0
7421a0056850e30172e2c541c9215c11,24544.0
9fd2ab2f88f10ef6d386289b4ce9b85d,22507.0
9a13cbb8e1b12468bf22d6a05aafb0c0,21144.0
0ad13b6d1cd98ad7e8f6ee9909d33114,18783.0
97cedb38639c436b01657f69a87fc45b,16764.0
0ebb2cf4a2017aeaefadf9ae5062eb62,16533.0
129500150cad877075ed12b0c9424282,16086.0
3d5b2906feb76d0c694fdd77e162e880,14278.0
6f1cbae792de3e1162d3d7dffbe4bb20,14236.0
2ae97aa780e74cb712a0ae2b285ff415,14103.0
5858157a5f3c4bdbc235927eae7ff303,13942.0
b2ce7f937c4d1e391758282974fcf514,13315.0
cb8b8a6ee6bcfa115f8b24a45fa1c12a,13256.0
df0e3d38eec730326754d8c17a8b8efe,12854.0
edc1dfcd54e37069be79c20ae7bfd68f,12847.0
0dd0551c0dd279c12d8a31ad016f0a7b,12444.0
cb1abf418422e26cfb437c2a36fa1ee9,11820.0
e04cb8c96d35fee0e181a15fc4511d0c,11410.0
596f70447030c8a5e3ddf2bd3eadafa5,11090.0
836cd5ea357ad392c00a7e48d921be1d,11001.0
64887d477599cd3dfb5734b05544d746,10664.0
b8455681fc92d051fdd023aa62417fb3,10523.0
04f5947e3f8d4cc43b9a50a6ac7749ab,10300.0
69a11f927915e2a3ba1f7b9c84486527,10023.0
6397b20a49248172fe4f03c91a114738,9928.0
fb4f0a79b97d6f24e3040e8145b0a6e7,9830.0
95d6a2a0e7a344010b5fd670677848e1,9702.0
5292f29cab69c370997bcb039ef68d64,9434.0
1a4f37c8b2709931be97a5c0898ca514,9078.0
ca1cc5371d4ad9f440ebbf9133008db1,9034.0
bead62c5dba954b3c34dbd63677ac5e9,8935.0
4f447322ae4dda115b52d772f9329f33,8905.0
33ea9f7df7a02a6f06fb9700ed440401,8664.0
a6ccec9ec008fe4a2f332209583c4012,8556.0
2bc5942b5fd0f8140d1eaf96be69ff40,8509.0
f434bb1f62e53ad7aed6f6ffd2ec039c,8234.0
4f983ab505c9e0936ecafdda621aead9,8174.0
922d33a2963d3e87a3d4df6b82371235,8128.0
7b9c8d4a1896d84d92ab4820edd025a6,7731.0
72e530a4206f2e4804d502f4dfca8387,7618.0
97630dd1898c25b4934be96d197bcbc7,7585.0
944db06913bc7a121ce7ba9c3c3d7ed4,7558.0
e3811dd729c742150d8c1c5f6e40c5a9,7481.0
ea9c1edfdf60a0a532f516b20689e41b,7328.0
029ac1f87abeae7dbac1ababc489cfec,7038.0
b9601452981d5393bd6c0ed100a35ff0,6915.0
f5e65944985d39991cba3fab949a0150,6862.0
84977ba94188c5d008f9861e3e14d0a5,6784.0
f74772c312ecf2f0278c402953e04d93,6747.0
5c60f84b3d868e8544e0b7805e20ae77,6684.0
b3b9843bbbe0fbf712a588255088fd4c,6680.0
ef3a40c4f26b5019887d73ceaaab84f2,6640.0
940c5c7f5d291961c87dd25da8580e29,6211.0
610fec3c1f64661f446a6e8270f23d0c,5980.0
7b28c20e72c6c95b3e604f0849245770,5854.0
634e293920d238dfa24961d096247760,5807.0
9d5a7a5cf87dec52b55a00426e639f7d,5730.0
721bbde09abf2f51fc7d8caeab5b22f1,5722.0
03569a7755ff05f8030577e97e2b4e12,5524.0
898eb92ef2d1ef893f7d0c383527b44d,5430.0
f5bf7ef226b458f24103a3531394ec7d,5397.0
ed78bbc1db0ff176088ec1eeb30cde95,5350.0
938fbbe51af86d1d7ebd6817a0f0bd24,5318.0
208a08b90e13b04d2ef2f584535a2d39,5306.0
e335f74033bc634af43ee6baa84fa247,5200.0
446b888f8119b56e60b68ad01e3dd288,5133.0
f7a5bb26f18474e6c701f3da11ad9e22,5119.0
82b6b13c800633859b139cf0569b4cda,5089.0
2cf0267a31dc6f1b8ee65c913b8f6e4d,4997.0
2eb2fe0471e37d54b5e1c47660220ad6,4916.0
39f1b510d3d0f5a6d28609e5a26641a9,4693.0
9cf3ece63fb5e5d8a14a81d6ec6f2b7b,4657.0
ee766857ab5fc018ac26632146bc90e1,4585.0
11bd305099dce16ecd99f2cb50aa2e40,4578.0
40ee8008409ff720207f89178b68ad71,4409.0
acf76b1f22c9536ca982df6f9b0219da,4187.0
bbee9f3d2ff7eae779b70c7ac2c971e4,4158.0
dd3f1d27af1be908d3c3fd143339aa9c,4065.0
9b4036adb487adfe4ca484346b5b9a7b,3979.0
5be31cfb3ad61e104009ab6fb46f6d7b,3962.0
06538b77450f85903962437f449fa60a,3851.0
1dde417c45171347b0ec07088aa49839,3810.0
22907d450b79c927e4ffe34a2d09d2aa,3739.0
11a5f0316ff4f3edb52c1b583a6e1448,3671.0
a5bc90c05d64d08c02c400ee977a91f0,3584.0
564828003ef8ce117a61d0098c6ff983,3459.0
8da18b476b64f6f053647455b6890f80,3355.0
fdbff060c0adc3184b21540df9bbbee1,3353.0
f44404ea806c18f6b05b7cbb4f3e5fd2,3316.0
c803726dac1aad6846d209e915cea275,3291.0
19bb6fdfb210eda549aee95a652e0fdf,3288.0
a2059dc1d1825bb8a0a039915d189ef8,3206.0
e2ca214f7055c2a6eedc54ac7689d169,3182.0
325ce268c8bbe026198a5ca3dbaad5b9,3152.0
7409b7841b167aedd9fc7a7ff3923371,3147.0
003a296ba4c55f34d62c224bda66f5a9,3141.0
6aaac37f56d07ffcea4fe9ef1cd00d2f,3111.0
b539fc5b8526efb37342c72b3766b72f,3095.0
d80a7337f5b24c90a8cc2dd4d9896e61,3052.0
d2d480b667c0d25176b7ad8e933c0ae7,3029.0
9a28e6b1aaae69477039957bc8a1222f,2994.0
da655131b22bfd130476359a287ed672,2990.0
2f8ad4365632e4a05d8897ac4ee70b3a,2935.0
27b0bca5c048a9dfade9558dcf685681,2888.0
fab19e407fc7d0aa7929a7eae23d8b53,2841.0
e9c6d3d5afd5747c2901ce47079bde79,2797.0
569653b1659271a290facfcedd0de061,2754.0
5a483930ae687501d239547148452dec,2705.0
e61b52cd3ace83b9a3515c17c6438a87,2691.0
621c47eba23ae9c542cbea58e92ff9b2,2689.0
706cedf1aaa8148cba65fc6503c3711e,2686.0
607a1bcc4baccac25c567bbb74d81cdf,2674.0
020f48a69f9bf40e54fbac885f94695a,2663.0
eb780084d3c5b406ff6ff7a4734850ec,2642.0
d2be1254f5e7eb97bd42ec342d9cb11d,2631.0
26c101a4b9028cdc693e0e4849d40e5e,2629.0
ac28c199405fa8466bdedf16d456edbc,2601.0
78ea3871fe655d6ea41023c5b8890308,2596.0
1c281deaf71c6d702d1ddadfa953eac6,2565.0
efa934e07029e49f4b1959b33c677589,2557.0
f1b5d72cafaaea7b61c531cb90452d9c,2543.0
48d8be76001a9d251dc030b142483539,2517.0
ecb3759e804e8c86d9fb0de817207fe9,2471.0
af140e3881d1c74ce8b17a5c8979dfa5,2432.0
2c5b343f7eeb463c44733a40b9ed0e8d,2415.0
60a2e0a4d6760de56ad66a42a4093dc5,2377.0
811f358e4e89eecbd75298ffce878cba,2370.0
298be8e22c08e1484f733daff3b992ee,2328.0
924668f542df9de35c2226e4a6cf09bd,2327.0
8e6f1849d93723676dff6cb1962941a8,2324.0
aa72cb690f877a365de8223b4466671b,2309.0
91c6bd1773aaec302882b43aff6babc4,2297.0
bc252e0de1c683f043226dd0579e9323,2280.0
e64e0372e716f489bb7ddc6d493a3bd6,2271.0
b4138e283c45cf0bc5387f9794bdfbcf,2271.0
beb1407c19f7fa27ce3bbc0aa7f36157,2215.0
683282878b7ef2a87187bc3172b91f97,2186.0
3e9e6197d0866ceeaa0d19f676601a4a,2181.0
e4897e85330404ac5201dc9b7a24a796,2174.0
b0fff0788c980929fc4bf71e985f57f0,2164.0
d27a7938be9be7fcde444b0d8a1e7f84,2121.0
4380abc163ecefa354d7002925971253,2112.0
958d78a02bef69a795806f97adb117ea,2109.0
4598e7db6dff8f019ff4f6c50dc05df4,2094.0
cd3526e9ddf608ed31c4f3d648ca8034,2092.0
827f757016e275883ea8814ffb6f2a4e,2081.0
829aa9ce47457bdda22529a99e9a18a4,2064.0
7d778ad679a7e22769f032c56e881c28,2061.0
1b23e74fb43b2b8a2d20b91679cf8e0e,2014.0
a7b2ebeb585c5a9437a670f13d3234db,1987.0
a6bfdb3176b2fc52c2e55ef46213f792,1980.0
943604f71971b419a2367b530186303f,1973.0
bc6c345a2feb70d3210ba7f89530c5b0,1964.0
0f276b28ea3ba352f6fd667c1e298c38,1912.0
f3e9d78daeea42d345080748e31ae3dd,1910.0
8670fe90bab6cfb5f737407248edc049,1906.0
3ee3085cd6f25c2449332df3675b9eee,1866.0
e5f421f77127c381ff85107a2d059a54,1857.0
e7e6949ffbc9aa02d519eae3f3a8e1ff,1848.0
992f0b2cc98ca40445e88a98a044838d,1844.0
5350cb7ce82bdd6c877c33d2a14a1f19,1838.0
7d02f99e2ea00512b055a4e70f84c18b,1824.0
3fb663a5bf98e163dbeedefe91c6bae9,1820.0
0d29a1eb24f264423251f3b2a92f7914,1819.0
a07dbd6b81597b810de81ac0ad6caf26,1808.0
a828d86ae6b1ae29eea5092499bc99df,1807.0
edefa736f3fd701281f967fa8952b8f3,1804.0
0c10bc475287f99f197cfc1c2b50947f,1797.0
f7428585b7cf8d65f206036a5852adab,1764.0
df1e3080300aed496c300246714bd838,1753.0
d114fb4c335125128be28401522dd41a,1745.0
8d16493f61b4859028a7a760a82751ce,1745.0
