id	RA/IH	CTL/PRO	Group	observed_features	chao1	chao1_ci	simpson	dominance	shannon_entropy	pielou_evenness
#q2:types	categorical	categorical	categorical	numeric	numeric	categorical	numeric	numeric	numeric	numeric
AK005	RA	CTL	RA FMT	340	342.888888888889	(340.6844230098431, 352.1937440622566)	0.888397796776993	0.111602203223007	5.00493117839481	0.595159770357102
AK006	RA	CTL	RA FMT	322	335.5	(327.28981171251496, 356.4530221309811)	0.867493194880518	0.132506805119482	4.65217306261235	0.55842269592602
AK007	RA	CTL	RA FMT	256	259.3	(256.78232734217863, 269.92000434201066)	0.833981230032777	0.166018769967223	4.31968272627343	0.539960340784179
AK008	RA	CTL	RA FMT	155	155	(155, 155.0)	0.887363906744276	0.112636093255724	4.46227745953079	0.613276685634487
AK009	RA	CTL	RA FMT	340	342.560975609756	(340.6140882496057, 350.68021750615986)	0.864683764720202	0.135316235279798	4.62151167165018	0.549565563873376
AK010	IH	CTL	IH FMT	348	364.730769230769	(354.80226620640036, 389.15079159793464)	0.833872584739691	0.166127415260309	4.59195947949592	0.543881346802062
AK011	IH	CTL	IH FMT	281	299	(288.14200860887587, 326.36538917039985)	0.788456754582026	0.211543245417974	4.19054722006075	0.515161986241574
AK012	IH	CTL	IH FMT	206	206.3	(206.02052199792917, 210.38553791452003)	0.859824287534011	0.140175712465989	4.28291625679767	0.557199761016238
AK013	IH	CTL	IH FMT	325	330.037037037037	(326.46951849627135, 342.26534383667814)	0.828328069212796	0.171671930787204	4.39616787544854	0.526847073014047
AK014	IH	CTL	IH FMT	309	333.391304347826	(319.48610253851837, 365.73563896623324)	0.750483076043729	0.249516923956271	3.76533687973622	0.455220178949429
AK015	RA	PRO	RA FMT PRO	313	316	(313.7171736888491, 325.54926127371385)	0.911665195091701	0.0883348049082985	5.27049195487881	0.635763567272098
AK016	RA	PRO	RA FMT PRO	240	246.47619047619	(241.96089760011984, 261.3886962181692)	0.753330949557798	0.246669050442201	3.88736916313325	0.491643221330555
AK017	RA	PRO	RA FMT PRO	312	320.076923076923	(314.72095490441603, 335.9756587970848)	0.892259752393921	0.107740247606079	4.89906430658654	0.591288651676258
AK018	RA	PRO	RA FMT PRO	368	372.5	(369.31032314281623, 383.4542031185354)	0.912952329591767	0.0870476704082332	5.37829532646509	0.630991521407686
AK019	RA	PRO	RA FMT PRO	308	327.5	(315.6291183795283, 357.8419320665348)	0.84526990966318	0.15473009033682	4.566252672502	0.552361265169206
AK020	IH	PRO	IH FMT PRO	403	414.5	(407.13966335468535, 434.94704222755604)	0.951752778200068	0.0482472217999317	5.92385794700744	0.684472221302067
AK021	IH	PRO	IH FMT PRO	377	384.228571428571	(379.47680530390676, 398.09662992708405)	0.949606122619543	0.0503938773804572	5.97595352121887	0.698254236550204
AK022	IH	PRO	IH FMT PRO	331	333.8125	(331.60059510672835, 344.1705306310087)	0.935628764122301	0.0643712358776993	5.41066817586915	0.646382777532593
AK023	IH	PRO	IH FMT PRO	328	334.181818181818	(329.8606613431741, 348.5383296499656)	0.915199527806024	0.0848004721939763	5.06829518115957	0.606432981614593
